"date","max.temp","min.temp","dwpt","month","year","day","dow","weekend","holiday","CO","O3","SO2","PM10","PM25","NO2","number.deaths","HI.max"
"1999-04-26",67.5496799648306,43.8442513423173,32.1636526440641,4,1999,26,1,0,0,1.03945993564918,0.0517919470402456,8.7480313382895,18,7.9802018746202,38.4629546345207,22,65
"1999-04-27",66.4566833121877,38.9207295723449,33.372337763515,4,1999,27,2,0,0,1.02894299740823,0.03923980995953,6.92349137869904,17.4801089986092,5.57417584292263,25.5205606584596,24,56
"1999-04-28",60.6890411205716,38.924527878725,34.6073190437112,4,1999,28,3,0,0,1.07687457129567,0.0433401330041065,8.75581388607269,26,7.15120952608348,42.2960805825183,17,58
"1999-04-29",62.1585637830133,38.247458376703,31.6686803498473,4,1999,29,4,0,0,1.31338563384285,0.0474809663313006,11.1096897592427,51,6.97202523738769,44.0581752514762,17,59
"1999-04-30",61.8985290650991,39.8945979754393,31.2504708221395,4,1999,30,5,0,0,1.15436523125407,0.0446732517846139,10.2983282298756,15.442827200623,5.43624766003745,40.5799534296208,28,58
"1999-05-01",66.4556674761306,34.8227754487403,32.4310772229844,5,1999,1,6,1,0,1.376059075365,0.0470472310328292,14.4539486612553,17,8.72431230901721,40.0471187527019,18,65
"1999-05-02",68.094322170336,35.6374694028132,36.1738104111038,5,1999,2,0,1,0,1.04226208923727,0.0487045749154918,10.5954176863913,17,7.04587385410327,36.1649621568706,24,66
"1999-05-03",65.9213882295732,41.070279735903,44.1526719703094,5,1999,3,1,0,0,1.20980220290902,0.0420062402031768,2.24318312558759,22,6.45196300063157,18.2473227297983,20,55
"1999-05-04",53.5788230341846,47.7691814647445,48.9124910375651,5,1999,4,2,0,0,1.36378147045466,0.0340863655037045,11.7668216120793,21,12.4710752958468,30.4333410801571,24,53
"1999-05-05",64.2707479180402,49.7293728562072,51.9257311741777,5,1999,5,3,0,0,1.79347237168541,0.0193248593471848,14.2943346550889,26,13.0316354513884,31.2871697303096,26,65
"1999-05-06",71.0253139085552,54.3207816190196,55.0905196325284,5,1999,6,4,0,0,1.65383209851653,0.0288263897662099,14.9778092546198,18.1120567206765,10.1835875246874,29.0517621848844,24,71
"1999-05-07",69.606944462849,54.3485600476787,55.1222578729901,5,1999,7,5,0,0,1.12554404032401,0.0219653440296875,13.7699306548504,13,10.2959145911329,22.1777480982174,30,64
"1999-05-08",61.7365251360863,52.9948521391602,54.7610848957099,5,1999,8,6,1,0,1.23564886109013,0.0233277776863811,12.2165917494933,10.6151400879967,7.85436484807036,20.7270501205004,30,63
"1999-05-09",75.2425241155354,54.0484493708931,54.3045088681887,5,1999,9,0,1,0,1.36072955570547,0.0514144307439237,20.9802439067981,17,9.72217606745562,22.8074646850428,19,76
"1999-05-10",71.2293221880595,49.3042833799137,44.467554593088,5,1999,10,1,0,0,1.16500804882707,0.0432522173506632,4.56056381636986,28,11.0558332563188,26.0066196878555,12,69
"1999-05-11",67.9425273025053,43.1928845368965,37.1494310387628,5,1999,11,2,0,0,1.14618923731231,0.0469395656676565,5.56844610741953,30,6.49897077507913,30.8316504207772,21,64
"1999-05-12",70.3943181900054,44.441451970666,36.1113531150906,5,1999,12,3,0,0,1.23556693080051,0.0550621074330043,8.87585796292263,21.7841112468651,8.83111404096015,45.562088613853,21,67
